expected, result, bool
-0.004461, -0.004462, 1
-0.005144, -0.005144, 1
-0.005723, -0.005724, 1
-0.006294, -0.006294, 1
-0.006809, -0.006809, 1
-0.007265, -0.007265, 1
-0.007759, -0.007759, 1
-0.008288, -0.008288, 1
-0.009081, -0.009081, 1
-0.009612, -0.009612, 1
-0.010075, -0.010075, 1
-0.010659, -0.010659, 1
-0.011310, -0.011311, 1
-0.011824, -0.011823, 1
-0.012455, -0.012455, 1
-0.013194, -0.013195, 1
-0.013564, -0.013564, 1
-0.013979, -0.013979, 1
-0.014545, -0.014545, 1
-0.015129, -0.015129, 1
-0.015699, -0.015699, 1
-0.016047, -0.016047, 1
-0.016462, -0.016461, 1
-0.017028, -0.017028, 1
-0.017488, -0.017488, 1
-0.017719, -0.017719, 1
-0.018020, -0.018020, 1
-0.018383, -0.018383, 1
-0.018878, -0.018878, 1
-0.019004, -0.019004, 1
-0.018972, -0.018972, 1
-0.018812, -0.018812, 1
-0.018680, -0.018680, 1
-0.018479, -0.018479, 1
-0.018494, -0.018494, 1
-0.018338, -0.018337, 1
-0.017725, -0.017726, 1
-0.017245, -0.017245, 1
-0.016853, -0.016853, 1
-0.016569, -0.016569, 1
-0.016155, -0.016155, 1
-0.015914, -0.015914, 1
-0.015671, -0.015670, 1
-0.015660, -0.015660, 1
-0.015529, -0.015529, 1
-0.015572, -0.015572, 1
-0.015539, -0.015539, 1
-0.015582, -0.015582, 1
-0.015637, -0.015637, 1
-0.016017, -0.016017, 1
-0.016224, -0.016224, 1
-0.016441, -0.016441, 1
-0.016771, -0.016771, 1
-0.017285, -0.017285, 1
-0.017751, -0.017751, 1
-0.018355, -0.018356, 1
-0.018850, -0.018850, 1
-0.019311, -0.019311, 1
-0.019788, -0.019788, 1
-0.020541, -0.020541, 1
-0.020988, -0.020988, 1
-0.021196, -0.021197, 1
-0.021439, -0.021439, 1
-0.021175, -0.021175, 1
-0.020978, -0.020978, 1
-0.020962, -0.020962, 1
-0.020907, -0.020907, 1
-0.020499, -0.020500, 1
-0.019940, -0.019940, 1
-0.019567, -0.019567, 1
-0.019049, -0.019049, 1
-0.018449, -0.018449, 1
-0.017800, -0.017800, 1
-0.017163, -0.017164, 1
-0.016311, -0.016311, 1
-0.015404, -0.015404, 1
-0.014688, -0.014688, 1
-0.013878, -0.013878, 1
-0.013095, -0.013095, 1
-0.012327, -0.012327, 1
-0.011467, -0.011467, 1
-0.010709, -0.010709, 1
-0.010047, -0.010047, 1
-0.009498, -0.009498, 1
-0.008906, -0.008906, 1
-0.008472, -0.008473, 1
-0.008513, -0.008513, 1
-0.008529, -0.008530, 1
-0.008496, -0.008496, 1
-0.008413, -0.008413, 1
-0.008488, -0.008488, 1
-0.008644, -0.008644, 1
-0.008687, -0.008686, 1
-0.008692, -0.008692, 1
-0.008681, -0.008680, 1
-0.008569, -0.008570, 1
-0.008615, -0.008615, 1
-0.008609, -0.008609, 1
-0.008960, -0.008960, 1
-0.009016, -0.009016, 1
-0.009077, -0.009077, 1
-0.009410, -0.009411, 1
-0.009374, -0.009374, 1
-0.009227, -0.009227, 1
-0.008912, -0.008912, 1
-0.008443, -0.008443, 1
-0.007759, -0.007759, 1
-0.006966, -0.006966, 1
-0.006220, -0.006219, 1
-0.005450, -0.005450, 1
-0.004217, -0.004217, 1
-0.002605, -0.002606, 1
-0.000932, -0.000932, 1
0.000820, 0.000820, 1
0.002776, 0.002776, 1
0.004928, 0.004928, 1
0.007138, 0.007138, 1
0.009453, 0.009453, 1
0.011799, 0.011799, 1
0.014268, 0.014268, 1
0.016644, 0.016644, 1
0.019053, 0.019053, 1
0.021268, 0.021268, 1
0.023531, 0.023531, 1
0.025720, 0.025720, 1
0.027330, 0.027329, 1
0.028900, 0.028901, 1
0.030536, 0.030536, 1
0.032234, 0.032234, 1
0.033432, 0.033432, 1
0.034389, 0.034390, 1
0.034840, 0.034839, 1
0.035200, 0.035200, 1
0.035576, 0.035576, 1
0.035669, 0.035670, 1
0.035463, 0.035463, 1
0.034985, 0.034985, 1
0.034608, 0.034607, 1
0.033931, 0.033931, 1
0.033126, 0.033126, 1
0.032166, 0.032166, 1
0.031005, 0.031005, 1
0.029979, 0.029979, 1
0.029131, 0.029131, 1
0.028082, 0.028082, 1
0.027012, 0.027012, 1
0.025877, 0.025877, 1
0.024480, 0.024480, 1
0.023429, 0.023429, 1
0.022756, 0.022756, 1
0.021927, 0.021927, 1
0.021193, 0.021193, 1
0.020576, 0.020575, 1
0.020012, 0.020012, 1
0.019575, 0.019575, 1
0.019419, 0.019419, 1
0.019138, 0.019138, 1
0.018762, 0.018762, 1
0.018376, 0.018376, 1
0.018053, 0.018053, 1
0.017780, 0.017780, 1
0.017339, 0.017339, 1
0.016648, 0.016648, 1
0.015809, 0.015809, 1
0.015088, 0.015088, 1
0.014387, 0.014387, 1
0.013382, 0.013382, 1
0.012259, 0.012259, 1
0.010696, 0.010696, 1
0.009209, 0.009209, 1
0.007553, 0.007553, 1
0.005876, 0.005875, 1
0.004357, 0.004357, 1
0.002568, 0.002569, 1
0.000999, 0.000999, 1
-0.000634, -0.000633, 1
-0.002273, -0.002273, 1
-0.003746, -0.003746, 1
-0.005660, -0.005660, 1
-0.007183, -0.007182, 1
-0.008639, -0.008639, 1
-0.009821, -0.009821, 1
-0.011024, -0.011023, 1
-0.012183, -0.012182, 1
-0.013204, -0.013204, 1
-0.014125, -0.014125, 1
-0.014722, -0.014722, 1
-0.015220, -0.015220, 1
-0.015462, -0.015462, 1
-0.015586, -0.015586, 1
-0.015824, -0.015824, 1
-0.016116, -0.016116, 1
-0.016350, -0.016350, 1
-0.016311, -0.016311, 1
-0.016574, -0.016574, 1
-0.016542, -0.016542, 1
-0.016346, -0.016346, 1
-0.016494, -0.016494, 1
-0.016596, -0.016596, 1
-0.016480, -0.016480, 1
-0.016326, -0.016326, 1
-0.016328, -0.016328, 1
-0.016372, -0.016372, 1
-0.016341, -0.016341, 1
-0.016115, -0.016116, 1
-0.016027, -0.016027, 1
-0.015782, -0.015782, 1
-0.015365, -0.015365, 1
-0.014963, -0.014963, 1
-0.014566, -0.014566, 1
-0.013855, -0.013855, 1
-0.013093, -0.013093, 1
-0.012610, -0.012610, 1
-0.012138, -0.012138, 1
-0.011334, -0.011334, 1
-0.010706, -0.010706, 1
-0.009897, -0.009897, 1
-0.009104, -0.009104, 1
-0.008246, -0.008246, 1
-0.007536, -0.007536, 1
-0.006662, -0.006662, 1
-0.005819, -0.005819, 1
-0.004959, -0.004959, 1
-0.004327, -0.004327, 1
-0.003616, -0.003616, 1
-0.002990, -0.002990, 1
-0.002291, -0.002291, 1
-0.002026, -0.002026, 1
-0.001906, -0.001906, 1
-0.001635, -0.001635, 1
-0.001729, -0.001729, 1
-0.001753, -0.001753, 1
-0.002332, -0.002332, 1
-0.003016, -0.003016, 1
-0.003673, -0.003673, 1
-0.004600, -0.004601, 1
-0.005723, -0.005723, 1
-0.006893, -0.006893, 1
-0.008247, -0.008247, 1
-0.009699, -0.009699, 1
-0.010947, -0.010947, 1
-0.012527, -0.012527, 1
-0.013819, -0.013818, 1
-0.015112, -0.015112, 1
-0.016621, -0.016621, 1
-0.017976, -0.017976, 1
-0.019145, -0.019145, 1
-0.020126, -0.020125, 1
-0.021201, -0.021201, 1
-0.021949, -0.021949, 1
-0.022472, -0.022472, 1
-0.023058, -0.023058, 1
-0.023614, -0.023614, 1
-0.024015, -0.024015, 1
-0.024080, -0.024080, 1
-0.023717, -0.023718, 1
-0.023450, -0.023450, 1
-0.023070, -0.023070, 1
-0.022988, -0.022988, 1
-0.022274, -0.022274, 1
-0.021328, -0.021328, 1
-0.020426, -0.020426, 1
-0.019625, -0.019625, 1
-0.018469, -0.018469, 1
-0.017158, -0.017158, 1
-0.015823, -0.015822, 1
-0.014271, -0.014271, 1
-0.012851, -0.012851, 1
-0.011268, -0.011269, 1
-0.009344, -0.009344, 1
-0.007690, -0.007690, 1
-0.006044, -0.006043, 1
-0.004171, -0.004171, 1
-0.002373, -0.002373, 1
-0.000686, -0.000686, 1
0.000667, 0.000667, 1
0.002036, 0.002036, 1
0.003304, 0.003304, 1
0.004400, 0.004399, 1
0.005422, 0.005422, 1
0.006062, 0.006062, 1
0.006746, 0.006745, 1
0.007246, 0.007245, 1
0.007329, 0.007329, 1
0.007919, 0.007919, 1
0.008569, 0.008569, 1
0.008825, 0.008825, 1
0.008976, 0.008977, 1
0.009192, 0.009192, 1
0.009130, 0.009130, 1
0.009305, 0.009305, 1
0.009329, 0.009329, 1
0.009376, 0.009376, 1
0.009467, 0.009468, 1
0.009478, 0.009477, 1
0.009429, 0.009429, 1
0.009530, 0.009530, 1
0.009686, 0.009686, 1
0.010170, 0.010171, 1
0.010645, 0.010645, 1
0.010866, 0.010866, 1
0.011192, 0.011191, 1
0.011756, 0.011756, 1
0.012073, 0.012073, 1
0.012371, 0.012371, 1
0.012477, 0.012477, 1
0.012560, 0.012560, 1
0.012905, 0.012905, 1
0.013239, 0.013239, 1
0.013401, 0.013401, 1
0.013411, 0.013411, 1
0.013888, 0.013888, 1
0.014390, 0.014390, 1
0.014567, 0.014568, 1
0.014813, 0.014813, 1
0.015363, 0.015363, 1
0.015735, 0.015735, 1
0.016081, 0.016081, 1
0.016273, 0.016273, 1
0.016427, 0.016427, 1
0.016472, 0.016472, 1
0.016776, 0.016776, 1
0.016767, 0.016767, 1
0.016484, 0.016485, 1
0.016133, 0.016132, 1
0.015946, 0.015946, 1
0.015440, 0.015440, 1
0.014829, 0.014829, 1
0.014093, 0.014093, 1
0.013384, 0.013383, 1
0.013032, 0.013032, 1
0.012530, 0.012530, 1
0.012046, 0.012046, 1
0.011291, 0.011291, 1
0.010642, 0.010643, 1
0.010165, 0.010165, 1
0.009769, 0.009769, 1
0.009569, 0.009569, 1
0.009602, 0.009602, 1
0.009691, 0.009691, 1
0.009618, 0.009618, 1
0.009712, 0.009712, 1
0.010031, 0.010031, 1
0.010316, 0.010316, 1
0.010831, 0.010831, 1
0.011504, 0.011504, 1
0.012155, 0.012155, 1
0.012887, 0.012887, 1
0.013860, 0.013860, 1
0.014547, 0.014547, 1
0.014843, 0.014843, 1
0.015543, 0.015543, 1
0.016336, 0.016336, 1
0.017270, 0.017270, 1
0.017902, 0.017902, 1
0.018338, 0.018338, 1
0.018746, 0.018746, 1
0.018799, 0.018799, 1
0.018887, 0.018887, 1
0.018856, 0.018856, 1
0.018995, 0.018996, 1
0.018742, 0.018742, 1
0.018453, 0.018453, 1
0.018009, 0.018010, 1
0.017395, 0.017396, 1
0.016883, 0.016883, 1
0.016326, 0.016326, 1
0.015545, 0.015545, 1
0.014882, 0.014882, 1
0.014034, 0.014034, 1
0.013056, 0.013056, 1
0.012056, 0.012056, 1
0.010843, 0.010843, 1
0.009859, 0.009859, 1
0.008812, 0.008813, 1
0.007951, 0.007951, 1
0.007298, 0.007298, 1
0.006281, 0.006281, 1
0.005223, 0.005223, 1
0.004531, 0.004531, 1
0.004193, 0.004193, 1
0.003679, 0.003679, 1
0.003336, 0.003336, 1
0.003004, 0.003004, 1
0.002562, 0.002562, 1
0.001920, 0.001920, 1
0.001404, 0.001404, 1
0.001202, 0.001202, 1
0.000843, 0.000842, 1
0.000409, 0.000409, 1
0.000005, 0.000004, 1
-0.000405, -0.000404, 1
-0.000783, -0.000783, 1
-0.001181, -0.001181, 1
-0.001364, -0.001364, 1
-0.001351, -0.001351, 1
-0.001441, -0.001441, 1
-0.001542, -0.001542, 1
-0.001595, -0.001595, 1
-0.001765, -0.001765, 1
-0.002071, -0.002071, 1
-0.002080, -0.002080, 1
-0.002155, -0.002155, 1
-0.002219, -0.002219, 1
-0.002125, -0.002125, 1
-0.001928, -0.001928, 1
-0.001580, -0.001580, 1
-0.001472, -0.001472, 1
-0.001497, -0.001497, 1
-0.001173, -0.001173, 1
-0.000548, -0.000549, 1
0.000029, 0.000029, 1
0.000269, 0.000269, 1
0.000441, 0.000440, 1
0.000663, 0.000663, 1
0.000739, 0.000739, 1
0.000867, 0.000867, 1
0.000993, 0.000993, 1
0.000926, 0.000925, 1
0.000788, 0.000789, 1
0.000725, 0.000725, 1
0.000459, 0.000460, 1
0.000184, 0.000184, 1
-0.000182, -0.000182, 1
-0.000436, -0.000436, 1
-0.000860, -0.000860, 1
-0.001457, -0.001457, 1
-0.002453, -0.002453, 1
-0.003466, -0.003466, 1
-0.004071, -0.004071, 1
-0.005041, -0.005041, 1
-0.006004, -0.006004, 1
-0.007036, -0.007036, 1
-0.008059, -0.008059, 1
-0.009245, -0.009245, 1
